property_id,address,home_value,home_equity_pct
PROP_001,"482 Oak St, Phoenix, AZ",450000,0.35
PROP_002,"1292 Oak St, Phoenix, AZ",520000,0.22
PROP_003,"834 Pine Ln, Phoenix, AZ",310000,0.15
PROP_004,"221 Maple Dr, Phoenix, AZ",680000,0.45
PROP_005,"905 Cedar Ct, Phoenix, AZ",415000,0.12
PROP_006,"112 Birch Blvd, Phoenix, AZ",590000,0.28
PROP_007,"334 Elm St, Phoenix, AZ",475000,0.55
PROP_008,"602 Spruce Rd, Phoenix, AZ",340000,0.18
PROP_009,"15 Larkspur Way, Phoenix, AZ",710000,0.42
PROP_010,"889 Juniper Dr, Phoenix, AZ",395000,0.08
PROP_011,"442 Willow Rd, Phoenix, AZ",515000,0.31
PROP_012,"773 Aspen St, Phoenix, AZ",430000,0.24
PROP_013,"556 Cherry Ln, Phoenix, AZ",365000,0.19
PROP_014,"102 Walnut Dr, Phoenix, AZ",625000,0.51
PROP_015,"290 Hickory Ct, Phoenix, AZ",490000,0.33
PROP_016,"667 Poplar Blvd, Phoenix, AZ",380000,0.14
PROP_017,"912 Sycamore St, Phoenix, AZ",550000,0.37
PROP_018,"234 Alder Rd, Phoenix, AZ",410000,0.21
PROP_019,"511 Sequoia Dr, Phoenix, AZ",780000,0.48
PROP_020,"809 Redwood Ln, Phoenix, AZ",445000,0.26
PROP_021,"123 Saguaro Ave, Phoenix, AZ",325000,0.17
PROP_022,"456 Agave Way, Phoenix, AZ",570000,0.39
PROP_023,"789 Yucca Dr, Phoenix, AZ",460000,0.29
PROP_024,"321 Cholla Ct, Phoenix, AZ",605000,0.44
PROP_025,"654 Ocotillo Rd, Phoenix, AZ",390000,0.11
PROP_026,"987 Mesquite Blvd, Phoenix, AZ",535000,0.32
PROP_027,"147 Palo Verde St, Phoenix, AZ",420000,0.23
PROP_028,"258 Ironwood Ln, Phoenix, AZ",355000,0.16
PROP_029,"369 Creosote Dr, Phoenix, AZ",695000,0.47
PROP_030,"741 Brittlebush Ct, Phoenix, AZ",485000,0.34
PROP_031,"852 Desert Willow Rd, Phoenix, AZ",375000,0.13
PROP_032,"963 Jojoba St, Phoenix, AZ",545000,0.36
PROP_033,"159 Saltbush Ln, Phoenix, AZ",405000,0.20
PROP_034,"357 Senna Dr, Phoenix, AZ",615000,0.43
PROP_035,"951 Marigold Way, Phoenix, AZ",470000,0.30
PROP_036,"753 Primrose Blvd, Phoenix, AZ",335000,0.15
PROP_037,"153 Lantana Rd, Phoenix, AZ",585000,0.41
PROP_038,"452 Verbena St, Phoenix, AZ",425000,0.25
PROP_039,"751 Penstemon Ln, Phoenix, AZ",345000,0.18
PROP_040,"352 Globemallow Dr, Phoenix, AZ",725000,0.50
PROP_041,"651 Zinnia Ct, Phoenix, AZ",465000,0.28
PROP_042,"952 Aster Rd, Phoenix, AZ",505000,0.31
PROP_043,"154 Cosmos St, Phoenix, AZ",385000,0.14
PROP_044,"754 Dahlia Ln, Phoenix, AZ",635000,0.46
PROP_045,"354 Iris Dr, Phoenix, AZ",495000,0.32
PROP_046,"654 Lilac Blvd, Phoenix, AZ",415000,0.22
PROP_047,"954 Orchid St, Phoenix, AZ",565000,0.38
PROP_048,"157 Peony Rd, Phoenix, AZ",435000,0.24
PROP_049,"757 Rose Ln, Phoenix, AZ",810000,0.52
PROP_050,"357 Tulip Dr, Phoenix, AZ",455000,0.27
PROP_051,"657 Violet Ct, Phoenix, AZ",315000,0.16
PROP_052,"957 Petunia Rd, Phoenix, AZ",525000,0.35
PROP_053,"151 Begonia St, Phoenix, AZ",440000,0.26
PROP_054,"751 Camellia Ln, Phoenix, AZ",645000,0.49
PROP_055,"351 Fern Dr, Phoenix, AZ",400000,0.19
PROP_056,"651 Ivy Blvd, Phoenix, AZ",575000,0.40
PROP_057,"951 Jasmine St, Phoenix, AZ",480000,0.33
PROP_058,"152 Lily Rd, Phoenix, AZ",360000,0.17
PROP_059,"752 Pansy Ln, Phoenix, AZ",735000,0.51
PROP_060,"352 Sage Dr, Phoenix, AZ",430000,0.25
PROP_061,"652 Clover Ct, Phoenix, AZ",320000,0.14
PROP_062,"952 Thyme Rd, Phoenix, AZ",510000,0.34
PROP_063,"153 Mint St, Phoenix, AZ",450000,0.28
PROP_064,"753 Basil Ln, Phoenix, AZ",655000,0.47
PROP_065,"353 Dill Dr, Phoenix, AZ",395000,0.21
PROP_066,"653 Fennel Blvd, Phoenix, AZ",595000,0.42
PROP_067,"953 Chive St, Phoenix, AZ",475000,0.31
PROP_068,"156 Anise Rd, Phoenix, AZ",340000,0.16
PROP_069,"756 Cumin Ln, Phoenix, AZ",745000,0.53
PROP_070,"356 Garlic Dr, Phoenix, AZ",425000,0.24
PROP_071,"656 Ginger Ct, Phoenix, AZ",330000,0.15
PROP_072,"956 Nutmeg Rd, Phoenix, AZ",530000,0.36
PROP_073,"158 Pepper St, Phoenix, AZ",460000,0.29
PROP_074,"758 Saffron Ln, Phoenix, AZ",665000,0.48
PROP_075,"358 Turmeric Dr, Phoenix, AZ",410000,0.22
PROP_076,"658 Vanilla Blvd, Phoenix, AZ",605000,0.44
PROP_077,"958 Sesame St, Phoenix, AZ",490000,0.33
PROP_078,"159 Poppy Rd, Phoenix, AZ",370000,0.18
PROP_079,"759 Sunflower Ln, Phoenix, AZ",755000,0.54
PROP_080,"359 Daisy Dr, Phoenix, AZ",445000,0.27
PROP_081,"661 Bluebell Ct, Phoenix, AZ",335000,0.16
PROP_082,"961 Marigold Rd, Phoenix, AZ",540000,0.37
PROP_083,"161 Lavender St, Phoenix, AZ",465000,0.30
PROP_084,"761 Heather Ln, Phoenix, AZ",675000,0.49
PROP_085,"361 Azalea Dr, Phoenix, AZ",420000,0.23
PROP_086,"661 Begonia Blvd, Phoenix, AZ",615000,0.45
PROP_087,"961 Camellia St, Phoenix, AZ",500000,0.34
PROP_088,"162 Gardenia Rd, Phoenix, AZ",380000,0.19
PROP_089,"762 Hibiscus Ln, Phoenix, AZ",765000,0.55
PROP_090,"362 Hydrangea Dr, Phoenix, AZ",455000,0.28
PROP_091,"662 Magnolia Ct, Phoenix, AZ",345000,0.17
PROP_092,"962 Oleander Rd, Phoenix, AZ",550000,0.38
PROP_093,"163 Petunia St, Phoenix, AZ",475000,0.31
PROP_094,"763 Rhododendron Ln, Phoenix, AZ",685000,0.50
PROP_095,"363 Wisteria Dr, Phoenix, AZ",415000,0.22
PROP_096,"663 Zinnia Blvd, Phoenix, AZ",625000,0.46
PROP_097,"963 Orchid St, Phoenix, AZ",510000,0.35
PROP_098,"164 Lilac Rd, Phoenix, AZ",390000,0.20
PROP_099,"764 Jasmine Ln, Phoenix, AZ",775000,0.56
PROP_100,"364 Iris Dr, Phoenix, AZ",465000,0.29